Match_ID,Teams,Venue,Toss_Winner,Toss_Decision,Winner,Margin_Runs,Margin_Wickets,Player_of_Match
23,"['Sunrisers Hyderabad', 'Mumbai Indians']",Wankhede Stadium,Mumbai Indians,field,Sunrisers Hyderabad,31.0,,Rashid Khan
20,"['Royal Challengers Bangalore', 'Chennai Super Kings']",M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Chennai Super Kings,27.0,,SK Raina
38,"['Rajasthan Royals', 'Pune Warriors']",Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,,6.0,LRPL Taylor
32,"['Chennai Super Kings', 'Rajasthan Royals']","MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,23.0,,M Vijay
4,"['Rajasthan Royals', 'Sunrisers Hyderabad']","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,field,Rajasthan Royals,72.0,,JC Buttler
25,"['Kolkata Knight Riders', 'Delhi Capitals']","Narendra Modi Stadium, Ahmedabad",Delhi Capitals,field,Delhi Capitals,,7.0,PP Shaw
52,"['Delhi Daredevils', 'Chennai Super Kings']",Arun Jaitley Stadium,Chennai Super Kings,field,Delhi Daredevils,34.0,,HV Patel
23,"['Gujarat Titans', 'Rajasthan Royals']","Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,field,Rajasthan Royals,,3.0,SO Hetmyer
13,"['Delhi Capitals', 'Chennai Super Kings']","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,bat,Delhi Capitals,20.0,,KK Ahmed
42,"['Deccan Chargers', 'Pune Warriors']",Barabati Stadium,Deccan Chargers,bat,Deccan Chargers,13.0,,KC Sangakkara
53,"['Mumbai Indians', 'Kolkata Knight Riders']",Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,65.0,,SR Tendulkar
55,"['Delhi Daredevils', 'Deccan Chargers']",Feroz Shah Kotla,Deccan Chargers,bat,Deccan Chargers,11.0,,A Symonds
36,"['Mumbai Indians', 'Chennai Super Kings']",Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,9.0,ST Jayasuriya
10,"['Mumbai Indians', 'Sunrisers Hyderabad']",Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,4.0,JJ Bumrah
65,"['Pune Warriors', 'Kolkata Knight Riders']",Dr DY Patil Sports Academy,Kolkata Knight Riders,field,Kolkata Knight Riders,,7.0,YK Pathan
44,"['Kolkata Knight Riders', 'Kings XI Punjab']",Holkar Cricket Stadium,Kings XI Punjab,field,Kolkata Knight Riders,31.0,,SP Narine
unknown,"['Gujarat Titans', 'Chennai Super Kings']","Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,field,Chennai Super Kings,,5.0,DP Conway
53,"['Chennai Super Kings', 'Punjab Kings']",Dubai International Cricket Stadium,Punjab Kings,field,Punjab Kings,,6.0,KL Rahul
7,"['Delhi Capitals', 'Gujarat Titans']","Arun Jaitley Stadium, Delhi",Gujarat Titans,field,Gujarat Titans,,6.0,B Sai Sudharsan
2,"['Royal Challengers Bangalore', 'Mumbai Indians']",M Chinnaswamy Stadium,Mumbai Indians,field,Royal Challengers Bangalore,2.0,,CH Gayle
49,"['Mumbai Indians', 'Chennai Super Kings']",Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,60.0,,MG Johnson
9,"['Rajasthan Royals', 'Delhi Capitals']","Sawai Mansingh Stadium, Jaipur",Delhi Capitals,field,Rajasthan Royals,12.0,,R Parag
unknown,"['Rajasthan Royals', 'Gujarat Titans']","Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,bat,Gujarat Titans,,7.0,HH Pandya
26,"['Gujarat Lions', 'Kings XI Punjab']",Saurashtra Cricket Association Stadium,Gujarat Lions,field,Kings XI Punjab,26.0,,HM Amla
17,"['Sunrisers Hyderabad', 'Chennai Super Kings']",Sharjah Cricket Stadium,Sunrisers Hyderabad,bat,Chennai Super Kings,,5.0,DR Smith
28,"['Kings XI Punjab', 'Royal Challengers Bangalore']",Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,8.0,AB de Villiers
18,"['Sunrisers Hyderabad', 'Kings XI Punjab']","Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,Sunrisers Hyderabad,,5.0,Mustafizur Rahman
