Match_ID,Teams,Venue,Toss_Winner,Toss_Decision,Winner,Margin_Runs,Margin_Wickets,Player_of_Match
38,"['Delhi Capitals', 'Kings XI Punjab']",Dubai International Cricket Stadium,Delhi Capitals,bat,Kings XI Punjab,,5.0,S Dhawan
64,"['Delhi Daredevils', 'Kings XI Punjab']",Feroz Shah Kotla,Kings XI Punjab,bat,Delhi Daredevils,,5.0,UT Yadav
unknown,"['Rajasthan Royals', 'Sunrisers Hyderabad']",Feroz Shah Kotla,Sunrisers Hyderabad,bat,Rajasthan Royals,,4.0,BJ Hodge
36,"['Sunrisers Hyderabad', 'Mumbai Indians']","Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bat,Mumbai Indians,,7.0,AT Rayudu
26,"['Lucknow Super Giants', 'Mumbai Indians']","Brabourne Stadium, Mumbai",Mumbai Indians,field,Lucknow Super Giants,18.0,,KL Rahul
12,"['Royal Challengers Bangalore', 'Rajasthan Royals']",M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,,7.0,SR Watson
17,"['Kolkata Knight Riders', 'Rajasthan Royals']",Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,,8.0,L Balaji
unknown,"['Mumbai Indians', 'Chennai Super Kings']",Rajiv Gandhi International Stadium,Mumbai Indians,bat,Mumbai Indians,1.0,,JJ Bumrah
11,"['Delhi Daredevils', 'Chennai Super Kings']",Feroz Shah Kotla,Delhi Daredevils,bat,Chennai Super Kings,,5.0,ML Hayden
30,"['Chennai Super Kings', 'Rajasthan Royals']","MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,Chennai Super Kings,,5.0,MEK Hussey
20,"['Mumbai Indians', 'Rajasthan Royals']",Sheikh Zayed Stadium,Mumbai Indians,bat,Mumbai Indians,57.0,,SA Yadav
44,"['Rajasthan Royals', 'Mumbai Indians']","Sardar Patel Stadium, Motera",Mumbai Indians,bat,Mumbai Indians,25.0,,MEK Hussey
47,"['Kolkata Knight Riders', 'Mumbai Indians']",Eden Gardens,Mumbai Indians,field,Kolkata Knight Riders,34.0,,AD Russell
18,"['Mumbai Indians', 'Royal Challengers Bangalore']","Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,field,Royal Challengers Bangalore,,7.0,Anuj Rawat
3,"['Delhi Daredevils', 'Rajasthan Royals']",Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,,9.0,MF Maharoof
5,"['Pune Warriors', 'Kings XI Punjab']",Dr DY Patil Sports Academy,Kings XI Punjab,bat,Pune Warriors,,7.0,SB Wagh
26,"['Sunrisers Hyderabad', 'Rajasthan Royals']",Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Rajasthan Royals,,5.0,R Tewatia
22,"['Kings XI Punjab', 'Kolkata Knight Riders']","Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kolkata Knight Riders,,8.0,G Gambhir
34,"['Chennai Super Kings', 'Sunrisers Hyderabad']","MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,bat,Chennai Super Kings,,5.0,MS Dhoni
22,"['Sunrisers Hyderabad', 'Rising Pune Supergiants']","Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiants,field,Rising Pune Supergiants,34.0,,AB Dinda
45,"['Gujarat Titans', 'Royal Challengers Bengaluru']","Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,,9.0,WG Jacks
58,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,4.0,CH Gayle
47,"['Kings XI Punjab', 'Gujarat Lions']","Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,field,Gujarat Lions,,6.0,DR Smith
52,"['Royal Challengers Bangalore', 'Mumbai Indians']",M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Mumbai Indians,57.0,,R McLaren
71,"['Pune Warriors', 'Delhi Daredevils']",Subrata Roy Sahara Stadium,Pune Warriors,bat,Pune Warriors,38.0,,LJ Wright
10,"['Kings XI Punjab', 'Delhi Daredevils']",Maharashtra Cricket Association Stadium,Kings XI Punjab,bat,Delhi Daredevils,,5.0,MA Agarwal
34,"['Kings XI Punjab', 'Mumbai Indians']",Holkar Cricket Stadium,Mumbai Indians,field,Mumbai Indians,,6.0,SA Yadav
19,"['Mumbai Indians', 'Sunrisers Hyderabad']",Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,Mumbai Indians,40.0,,AS Joseph
9,"['Kings XI Punjab', 'Rajasthan Royals']",Sharjah Cricket Stadium,Rajasthan Royals,field,Rajasthan Royals,,4.0,SV Samson
3,"['Mumbai Indians', 'Pune Warriors']",Wankhede Stadium,Mumbai Indians,field,Pune Warriors,28.0,,SPD Smith
14,"['Delhi Daredevils', 'Sunrisers Hyderabad']",Feroz Shah Kotla,Delhi Daredevils,bat,Sunrisers Hyderabad,,3.0,A Mishra
15,"['Deccan Chargers', 'Delhi Daredevils']",Barabati Stadium,Deccan Chargers,bat,Deccan Chargers,10.0,,A Symonds
50,"['Gujarat Lions', 'Delhi Daredevils']",Green Park,Delhi Daredevils,field,Delhi Daredevils,,2.0,SS Iyer
24,"['Kolkata Knight Riders', 'Royal Challengers Bangalore']",Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,9.0,CH Gayle
27,"['Mumbai Indians', 'Rajasthan Royals']",Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,,4.0,JC Buttler
55,"['Chennai Super Kings', 'Delhi Capitals']","Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field,Chennai Super Kings,91.0,,DP Conway
54,"['Kolkata Knight Riders', 'Sunrisers Hyderabad']",Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,,4.0,YK Pathan
50,"['Rajasthan Royals', 'Pune Warriors']",Sawai Mansingh Stadium,Pune Warriors,bat,Rajasthan Royals,,5.0,AM Rahane
1,"['Kolkata Knight Riders', 'Mumbai Indians']",Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,,7.0,M Morkel
8,"['Sunrisers Hyderabad', 'Mumbai Indians']","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,field,Sunrisers Hyderabad,31.0,,Abhishek Sharma
27,"['Kolkata Knight Riders', 'Royal Challengers Bangalore']",Eden Gardens,Royal Challengers Bangalore,field,Kolkata Knight Riders,82.0,,NM Coulter-Nile
45,"['Delhi Daredevils', 'Royal Challengers Bangalore']",Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,5.0,AB de Villiers
32,"['Kolkata Knight Riders', 'Kings XI Punjab']",Eden Gardens,Kings XI Punjab,field,Kolkata Knight Riders,7.0,,AD Russell
unknown,"['Gujarat Titans', 'Mumbai Indians']","Narendra Modi Stadium, Ahmedabad",Mumbai Indians,field,Gujarat Titans,62.0,,Shubman Gill
52,"['Sunrisers Hyderabad', 'Royal Challengers Bangalore']","Zayed Cricket Stadium, Abu Dhabi",Royal Challengers Bangalore,field,Sunrisers Hyderabad,4.0,,KS Williamson
unknown,"['Sunrisers Hyderabad', 'Kolkata Knight Riders']","Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,bat,Kolkata Knight Riders,,8.0,MA Starc
6,"['Chennai Super Kings', 'Lucknow Super Giants']","MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,field,Chennai Super Kings,12.0,,MM Ali
1,"['Kolkata Knight Riders', 'Delhi Daredevils']",Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,,6.0,SP Narine
12,"['Sunrisers Hyderabad', 'Gujarat Titans']","Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,bat,Gujarat Titans,,7.0,MM Sharma
5,"['Kolkata Knight Riders', 'Royal Challengers Bangalore']",Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,3.0,CH Gayle
43,"['Rajasthan Royals', 'Delhi Daredevils']",Sawai Mansingh Stadium,Rajasthan Royals,bat,Delhi Daredevils,,6.0,P Negi
54,"['Sunrisers Hyderabad', 'Chennai Super Kings']","Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,Chennai Super Kings,77.0,,SK Raina
56,"['Kolkata Knight Riders', 'Mumbai Indians']",Eden Gardens,Mumbai Indians,bat,Kolkata Knight Riders,,9.0,M Kartik
11,"['Kolkata Knight Riders', 'Kings XI Punjab']",Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,,8.0,SP Narine
56,"['Kings XI Punjab', 'Rajasthan Royals']","Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,Kings XI Punjab,41.0,,SE Marsh
66,"['Mumbai Indians', 'Rajasthan Royals']",Wankhede Stadium,Mumbai Indians,bat,Rajasthan Royals,,10.0,SR Watson
5,"['Mumbai Indians', 'Royal Challengers Bangalore']","M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field,Royal Challengers Bangalore,,8.0,F du Plessis
26,"['Punjab Kings', 'Royal Challengers Bangalore']","Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,field,Punjab Kings,34.0,,Harpreet Brar
38,"['Kolkata Knight Riders', 'Gujarat Lions']",Eden Gardens,Gujarat Lions,field,Gujarat Lions,,5.0,P Kumar
53,"['Rajasthan Royals', 'Royal Challengers Bangalore']",Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,30.0,,S Gopal
22,"['Kolkata Knight Riders', 'Mumbai Indians']","Wankhede Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians,,5.0,VR Iyer
10,"['Mumbai Indians', 'Delhi Daredevils']",Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,44.0,,KD Karthik
31,"['Royal Challengers Bangalore', 'Kings XI Punjab']",Sharjah Cricket Stadium,Royal Challengers Bangalore,bat,Kings XI Punjab,,8.0,KL Rahul
22,"['Kings XI Punjab', 'Delhi Daredevils']",Arun Jaitley Stadium,Delhi Daredevils,field,Kings XI Punjab,4.0,,AS Rajpoot
37,"['Kolkata Knight Riders', 'Kings XI Punjab']",Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,,8.0,Iqbal Abdulla
21,"['Chennai Super Kings', 'Kolkata Knight Riders']",JSCA International Stadium Complex,Chennai Super Kings,bat,Chennai Super Kings,34.0,,RA Jadeja
31,"['Kings XI Punjab', 'Royal Challengers Bangalore']","Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Royal Challengers Bangalore,,6.0,KP Pietersen
6,"['Kolkata Knight Riders', 'Royal Challengers Bangalore']","Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,field,Royal Challengers Bangalore,,3.0,PWH de Silva
39,"['Royal Challengers Bangalore', 'Chennai Super Kings']",M.Chinnaswamy Stadium,Chennai Super Kings,field,Royal Challengers Bangalore,1.0,,PA Patel
8,"['Rajasthan Royals', 'Sunrisers Hyderabad']",Rajiv Gandhi International Stadium,Rajasthan Royals,bat,Sunrisers Hyderabad,,5.0,Rashid Khan
46,"['Sunrisers Hyderabad', 'Royal Challengers Bangalore']","Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,bat,Sunrisers Hyderabad,,7.0,DA Warner
52,"['Kolkata Knight Riders', 'Kings XI Punjab']",Eden Gardens,Kings XI Punjab,bat,Kolkata Knight Riders,,3.0,Umar Gul
60,"['Rajasthan Royals', 'Pune Warriors']",Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,45.0,,A Chandila
20,"['Kings XI Punjab', 'Mumbai Indians']",Kingsmead,Kings XI Punjab,bat,Kings XI Punjab,3.0,,KC Sangakkara
38,"['Mumbai Indians', 'Rajasthan Royals']","Sawai Mansingh Stadium, Jaipur",Mumbai Indians,bat,Rajasthan Royals,,9.0,Sandeep Sharma
36,"['Kolkata Knight Riders', 'Royal Challengers Bangalore']","M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field,Kolkata Knight Riders,21.0,,CV Varun
30,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",M Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,,5.0,AD Russell
61,"['Rajasthan Royals', 'Chennai Super Kings']","MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,bat,Chennai Super Kings,,5.0,Simarjeet Singh
33,"['Sunrisers Hyderabad', 'Delhi Capitals']",Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Delhi Capitals,,8.0,A Nortje
unknown,"['Chennai Super Kings', 'Mumbai Indians']",MA Chidambaram Stadium,Chennai Super Kings,bat,Mumbai Indians,,6.0,SA Yadav
11,"['Royal Challengers Bangalore', 'Kings XI Punjab']",Kingsmead,Royal Challengers Bangalore,bat,Kings XI Punjab,,7.0,RS Bopara
41,"['Rajasthan Royals', 'Sunrisers Hyderabad']",Brabourne Stadium,Rajasthan Royals,field,Sunrisers Hyderabad,7.0,,EJG Morgan
21,"['Mumbai Indians', 'Pune Warriors']",Wankhede Stadium,Pune Warriors,bat,Mumbai Indians,,7.0,MM Patel
26,"['Chennai Super Kings', 'Rajasthan Royals']","MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,Chennai Super Kings,,7.0,F du Plessis
45,"['Lucknow Super Giants', 'Delhi Capitals']","Wankhede Stadium, Mumbai",Lucknow Super Giants,bat,Lucknow Super Giants,6.0,,Mohsin Khan
44,"['Kolkata Knight Riders', 'Kings XI Punjab']",Eden Gardens,Kings XI Punjab,bat,Kolkata Knight Riders,,1.0,AD Russell
18,"['Royal Challengers Bangalore', 'Rajasthan Royals']",M Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,59.0,,AM Rahane
1,"['Mumbai Indians', 'Kolkata Knight Riders']",Sheikh Zayed Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,41.0,,JH Kallis
4,"['Kings XI Punjab', 'Rajasthan Royals']",Sawai Mansingh Stadium,Rajasthan Royals,field,Kings XI Punjab,14.0,,CH Gayle
41,"['Kolkata Knight Riders', 'Delhi Capitals']","Wankhede Stadium, Mumbai",Delhi Capitals,field,Delhi Capitals,,4.0,Kuldeep Yadav
7,"['Deccan Chargers', 'Delhi Daredevils']","Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,,9.0,V Sehwag
22,"['Chennai Super Kings', 'Royal Challengers Bangalore']","Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,field,Chennai Super Kings,23.0,,S Dube
39,"['Rajasthan Royals', 'Royal Challengers Bangalore']",Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Rajasthan Royals,65.0,,GC Smith
62,"['Pune Warriors', 'Deccan Chargers']",Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers,,6.0,A Mishra
12,"['Mumbai Indians', 'Chennai Super Kings']",Wankhede Stadium,Mumbai Indians,bat,Chennai Super Kings,,6.0,A Nehra
68,"['Deccan Chargers', 'Rajasthan Royals']","Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,bat,Deccan Chargers,,5.0,DW Steyn
32,"['Royal Challengers Bangalore', 'Rajasthan Royals']","M Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field,Royal Challengers Bangalore,7.0,,GJ Maxwell
22,"['Kolkata Knight Riders', 'Chennai Super Kings']","MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,Chennai Super Kings,,7.0,RA Jadeja
36,"['Deccan Chargers', 'Kings XI Punjab']",De Beers Diamond Oval,Kings XI Punjab,field,Kings XI Punjab,,3.0,DPMD Jayawardene
35,"['Royal Challengers Bangalore', 'Chennai Super Kings']",Sharjah Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings,,6.0,DJ Bravo
45,"['Rajasthan Royals', 'Mumbai Indians']",Sawai Mansingh Stadium,Rajasthan Royals,field,Mumbai Indians,37.0,,SR Tendulkar
40,"['Delhi Daredevils', 'Sunrisers Hyderabad']",Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils,,6.0,Mohammed Shami
45,"['Mumbai Indians', 'Kings XI Punjab']",Wankhede Stadium,Mumbai Indians,field,Kings XI Punjab,1.0,,SE Marsh
55,"['Rajasthan Royals', 'Royal Challengers Bangalore']",Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,9.0,S Aravind
unknown,"['Delhi Daredevils', 'Kolkata Knight Riders']",Subrata Roy Sahara Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,18.0,,YK Pathan
62,"['Mumbai Indians', 'Sunrisers Hyderabad']",Wankhede Stadium,Sunrisers Hyderabad,bat,Mumbai Indians,,7.0,KA Pollard
unknown,"['Chennai Super Kings', 'Kings XI Punjab']",Wankhede Stadium,Chennai Super Kings,field,Kings XI Punjab,24.0,,V Sehwag
46,"['Chennai Super Kings', 'Sunrisers Hyderabad']","MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,field,Chennai Super Kings,78.0,,RD Gaikwad
8,"['Royal Challengers Bangalore', 'Mumbai Indians']",M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,,9.0,SR Tendulkar
2,"['Mumbai Indians', 'Rajasthan Royals']",Brabourne Stadium,Mumbai Indians,bat,Mumbai Indians,4.0,,YK Pathan
23,"['Delhi Capitals', 'Rajasthan Royals']",Sharjah Cricket Stadium,Rajasthan Royals,field,Delhi Capitals,46.0,,R Ashwin
41,"['Mumbai Indians', 'Kings XI Punjab']",Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,4.0,,RG Sharma
35,"['Kings XI Punjab', 'Mumbai Indians']","Punjab Cricket Association Stadium, Mohali",Mumbai Indians,bat,Mumbai Indians,23.0,,LMP Simmons
2,"['Kings XI Punjab', 'Chennai Super Kings']","Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,33.0,,MEK Hussey
17,"['Chennai Super Kings', 'Sunrisers Hyderabad']","Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,field,Sunrisers Hyderabad,,8.0,Abhishek Sharma
7,"['Delhi Daredevils', 'Kings XI Punjab']",Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils,,8.0,A Mishra
50,"['Chennai Super Kings', 'Delhi Capitals']",MA Chidambaram Stadium,Delhi Capitals,field,Chennai Super Kings,80.0,,MS Dhoni
6,"['Rajasthan Royals', 'Delhi Daredevils']","Sardar Patel Stadium, Motera",Delhi Daredevils,field,Delhi Daredevils,,6.0,V Sehwag
16,"['Pune Warriors', 'Delhi Daredevils']",Dr DY Patil Sports Academy,Delhi Daredevils,field,Delhi Daredevils,,3.0,Yuvraj Singh
29,"['Royal Challengers Bangalore', 'Rajasthan Royals']",M Chinnaswamy Stadium,Rajasthan Royals,field,unknown,,,unknown
33,"['Kings XI Punjab', 'Mumbai Indians']","Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Mumbai Indians,,4.0,AT Rayudu
25,"['Sunrisers Hyderabad', 'Kings XI Punjab']","Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,bat,Sunrisers Hyderabad,,5.0,GH Vihari
14,"['Sunrisers Hyderabad', 'Chennai Super Kings']",Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,7.0,,PK Garg
3,"['Kings XI Punjab', 'Gujarat Lions']","Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,field,Gujarat Lions,,5.0,AJ Finch
13,"['Kings XI Punjab', 'Delhi Daredevils']","Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,Kings XI Punjab,,4.0,SM Katich
29,"['Chennai Super Kings', 'Gujarat Titans']","Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,field,Gujarat Titans,,3.0,DA Miller
47,"['Royal Challengers Bangalore', 'Kings XI Punjab']",M Chinnaswamy Stadium,Kings XI Punjab,field,Royal Challengers Bangalore,85.0,,CH Gayle
36,"['Kings XI Punjab', 'Delhi Daredevils']","Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,field,Kings XI Punjab,,10.0,Sandeep Sharma
41,"['Kings XI Punjab', 'Mumbai Indians']","Punjab Cricket Association Stadium, Mohali",Mumbai Indians,bat,Kings XI Punjab,,6.0,KC Sangakkara
unknown,"['Kolkata Knight Riders', 'Chennai Super Kings']","MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Kolkata Knight Riders,,5.0,MS Bisla
45,"['Mumbai Indians', 'Rajasthan Royals']",Sheikh Zayed Stadium,Mumbai Indians,bat,Rajasthan Royals,,8.0,BA Stokes
54,"['Kolkata Knight Riders', 'Lucknow Super Giants']","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,field,Kolkata Knight Riders,98.0,,SP Narine
33,"['Mumbai Indians', 'Chennai Super Kings']",Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,,4.0,DR Smith
10,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,42.0,,L Balaji
29,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",M.Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,,6.0,CA Lynn
54,"['Gujarat Lions', 'Mumbai Indians']",Green Park,Gujarat Lions,field,Gujarat Lions,,6.0,SK Raina
6,"['Rajasthan Royals', 'Delhi Daredevils']",Sawai Mansingh Stadium,Delhi Daredevils,field,Rajasthan Royals,10.0,,SV Samson
13,"['Rajasthan Royals', 'Royal Challengers Bangalore']","Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,Royal Challengers Bangalore,,4.0,KD Karthik
15,"['Gujarat Lions', 'Sunrisers Hyderabad']",Saurashtra Cricket Association Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,10.0,B Kumar
13,"['Kings XI Punjab', 'Delhi Capitals']",Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,field,Kings XI Punjab,14.0,,SM Curran
36,"['Delhi Daredevils', 'Mumbai Indians']",Feroz Shah Kotla,Mumbai Indians,field,Delhi Daredevils,37.0,,V Sehwag
55,"['Royal Challengers Bangalore', 'Mumbai Indians']",M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,,9.0,CRD Fernando
unknown,"['Royal Challengers Bangalore', 'Chennai Super Kings']",Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,,6.0,SK Raina
55,"['Mumbai Indians', 'Sunrisers Hyderabad']","Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,bat,Mumbai Indians,42.0,,Ishan Kishan
unknown,"['Kolkata Knight Riders', 'Rajasthan Royals']",Eden Gardens,Rajasthan Royals,field,Kolkata Knight Riders,25.0,,AD Russell
46,"['Kings XI Punjab', 'Sunrisers Hyderabad']","Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Sunrisers Hyderabad,,7.0,HM Amla
47,"['Chennai Super Kings', 'Mumbai Indians']",St George's Park,Mumbai Indians,bat,Chennai Super Kings,,7.0,ML Hayden
63,"['Lucknow Super Giants', 'Mumbai Indians']","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mumbai Indians,field,Lucknow Super Giants,5.0,,MP Stoinis
10,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']","MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,38.0,,AB de Villiers
48,"['Kings XI Punjab', 'Rajasthan Royals']","Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,bat,Rajasthan Royals,43.0,,SR Watson
23,"['Mumbai Indians', 'Delhi Daredevils']",Dr DY Patil Sports Academy,Delhi Daredevils,field,Mumbai Indians,29.0,,SM Pollock
64,"['Delhi Capitals', 'Lucknow Super Giants']","Arun Jaitley Stadium, Delhi",Lucknow Super Giants,field,Delhi Capitals,19.0,,I Sharma
14,"['Punjab Kings', 'Sunrisers Hyderabad']","MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,bat,Sunrisers Hyderabad,,9.0,JM Bairstow
47,"['Kolkata Knight Riders', 'Sunrisers Hyderabad']","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,bat,Kolkata Knight Riders,5.0,,CV Varun
51,"['Chennai Super Kings', 'Kolkata Knight Riders']",SuperSport Park,Chennai Super Kings,bat,Kolkata Knight Riders,,7.0,BJ Hodge
44,"['Royal Challengers Bangalore', 'Gujarat Lions']",M Chinnaswamy Stadium,Gujarat Lions,field,Royal Challengers Bangalore,144.0,,AB de Villiers
27,"['Kings XI Punjab', 'Sunrisers Hyderabad']","Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Sunrisers Hyderabad,20.0,,TA Boult
56,"['Delhi Daredevils', 'Royal Challengers Bangalore']",Shaheed Veer Narayan Singh International Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,6.0,V Kohli
27,"['Mumbai Indians', 'Royal Challengers Bangalore']",Wankhede Stadium,Royal Challengers Bangalore,field,Mumbai Indians,19.0,,RG Sharma
32,"['Kochi Tuskers Kerala', 'Deccan Chargers']",Nehru Stadium,Kochi Tuskers Kerala,field,Deccan Chargers,55.0,,I Sharma
10,"['Kolkata Knight Riders', 'Sunrisers Hyderabad']",Eden Gardens,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,5.0,B Stanlake
34,"['Mumbai Indians', 'Delhi Capitals']",Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians,40.0,,HH Pandya
29,"['Chennai Super Kings', 'Mumbai Indians']","Wankhede Stadium, Mumbai",Mumbai Indians,field,Chennai Super Kings,20.0,,M Pathirana
27,"['Royal Challengers Bangalore', 'Punjab Kings']","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field,Royal Challengers Bangalore,24.0,,Mohammed Siraj
31,"['Delhi Daredevils', 'Kolkata Knight Riders']",Kingsmead,Kolkata Knight Riders,bat,Delhi Daredevils,,9.0,G Gambhir
1,"['Chennai Super Kings', 'Kolkata Knight Riders']","MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,2.0,,S Anirudha
unknown,"['Delhi Capitals', 'Chennai Super Kings']",Dubai International Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings,,4.0,RD Gaikwad
54,"['Rajasthan Royals', 'Kolkata Knight Riders']",Brabourne Stadium,Rajasthan Royals,bat,Rajasthan Royals,9.0,,SR Watson
50,"['Sunrisers Hyderabad', 'Rajasthan Royals']","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1.0,,B Kumar
42,"['Deccan Chargers', 'Mumbai Indians']","Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Mumbai Indians,25.0,,DJ Bravo
69,"['Kings XI Punjab', 'Delhi Daredevils']",Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,field,Delhi Daredevils,,6.0,UT Yadav
34,"['Rajasthan Royals', 'Delhi Capitals']","Wankhede Stadium, Mumbai",Delhi Capitals,field,Rajasthan Royals,15.0,,JC Buttler
unknown,"['Royal Challengers Bangalore', 'Sunrisers Hyderabad']",Sheikh Zayed Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,6.0,KS Williamson
54,"['Sunrisers Hyderabad', 'Royal Challengers Bangalore']",M.Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,4.0,SO Hetmyer
